page_number,winner,winning_club,loser,losing_club,cup,stage,boatclass,winner_station,time,date,barrier_time,barrier_loser_leading,fawley_time,fawley_loser_leading,finish_time,verdict
73,Norwich School,Norwich School,Durham School,Durham School,The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,20:10,2021-08-11,128.0,False,221.0,False,472.0,easily
73,Shiplake College,Shiplake College,Shrewsbury School,Shrewsbury School,The Temple Challenge Cup,heats,M8+,Station 1 - Berks,20:10,2021-08-11,121.0,False,207.0,False,440.0,3.5 lengths
73,London Rowing Club 'A',London Rowing Club,Upper Thames Rowing Club 'A',Upper Thames Rowing Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,20:00,2021-08-11,119.0,False,203.0,False,425.0,2.25 lengths
73,Hampton School,Hampton School,Mossbourne Community Academy,Mossbourne Community Academy,The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,19:50,2021-08-11,125.0,False,211.0,False,447.0,easily
73,Imperial College London 'B',Imperial College London,"Caius Boat Club, Cambridge and Homerton College, Cambridge","Caius Boat Club, Cambridge and Homerton College, Cambridge",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,19:45,2021-08-11,123.0,False,208.0,False,458.0,easily
73,Agecroft Rowing Club,Agecroft Rowing Club,Vesta Rowing Club 'B',Vesta Rowing Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,19:45,2021-08-11,125.0,True,209.0,False,436.0,1.75 lengths
73,Thames Rowing Club 'A',Thames Rowing Club,Phoenix Boat Club,Phoenix Boat Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,19:35,2021-08-11,125.0,False,211.0,False,448.0,1.75 lengths
73,Newcastle University 'A',Newcastle University,Newcastle University 'B',Newcastle University,The Prince Albert Challenge Cup,heats,M4+,Station 1 - Berks,19:30,2021-08-11,132.0,False,222.0,False,478.0,easily
73,Claires Court School,Claires Court School,Nottingham & Union Rowing Club 'A',Nottingham & Union Rowing Club,The Diamond Jubilee Challenge Cup,heats,W4,Station 2 - Bucks,18:20,2021-08-11,147.0,False,247.0,False,507.0,0.5 lengths
73,Minerva Bath Rowing Club 'A',Minerva Bath Rowing Club,Derby Rowing Club,Derby Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,18:15,2021-08-11,132.0,False,223.0,False,474.0,1.25 lengths
73,Sir William Borlase's Grammar School,Sir William Borlase's Grammar School,Wycliffe Junior Rowing Club,Wycliffe Junior Rowing Club,The Fawley Challenge Cup,heats,M4,Station 2 - Bucks,18:10,2021-08-11,127.0,False,216.0,False,468.0,3 lengths
73,Imperial College London 'A',Imperial College London,"Caius Boat Club, Cambridge","Caius Boat Club, Cambridge",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,18:05,2021-08-11,112.0,False,190.0,False,412.0,2.5 lengths
73,Vesta Rowing Club 'A',Vesta Rowing Club,East India Club,East India Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,18:30,2021-08-11,119.0,False,201.0,False,424.0,2.5 lengths
73,Hinksey Sculling School,Hinksey Sculling School,"The King's School, Chester","The King's School, Chester",The Junior Women's Eights,heats,JW8+,Station 2 - Bucks,17:50,2021-08-11,140.0,False,236.0,False,489.0,4.5 lengths
74,City of Oxford Rowing Club,City of Oxford Rowing Club,Marlow Rowing Club,Marlow Rowing Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,17:45,2021-08-11,126.0,False,211.0,False,437.0,2.25 lengths
74,George Watson's College,George Watson's College,Hereford Cathedral School,Hereford Cathedral School,The Fawley Challenge Cup,heats,M4,Station 1 - Berks,17:40,2021-08-11,132.0,False,221.0,False,455.0,0.33 lengths
74,Walton Rowing Club,Walton Rowing Club,Northwich Rowing Club,Northwich Rowing Club,The Diamond Jubilee Challenge Cup,heats,W4,Station 2 - Bucks,17:35,2021-08-11,148.0,False,252.0,False,532.0,5 lengths
74,Globe Rowing Club 'A',Globe Rowing Club,Broxbourne Rowing Club,Broxbourne Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,17:30,2021-08-11,128.0,False,221.0,False,478.0,1.25 lengths
74,University of Bristol,University of Bristol,Exeter University,Exeter University,The Prince Albert Challenge Cup,heats,M4+,Station 1 - Berks,17:20,2021-08-11,127.0,False,215.0,False,451.0,3.5 lengths
74,Elizabethan Boat Club,Elizabethan Boat Club,Curlew Rowing Club,Curlew Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,17:15,2021-08-11,132.0,False,223.0,False,474.0,5 lengths
74,Henley Rowing Club,Henley Rowing Club,Putney High School,Putney High School,The Junior Women's Eights,heats,JW8+,Station 1 - Berks,17:10,2021-08-11,134.0,False,228.0,False,485.0,1.75 lengths
74,Lea Rowing Club,Lea Rowing Club,Star Club,Star Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,17:05,2021-08-11,122.0,False,204.0,False,439.0,4.25 lengths
74,Shiplake College,Shiplake College,Radley College,Radley College,The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,17:00,2021-08-11,117.0,False,197.0,False,407.0,0.75 lengths
74,University of Surrey,University of Surrey,Durham University 'B',Durham University,The Prince Albert Challenge Cup,heats,M4+,Station 2 - Bucks,16:50,2021-08-11,130.0,False,219.0,False,467.0,5 lengths
74,Hinksey Sculling School,Hinksey Sculling School,City of Oxford Rowing Club,City of Oxford Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 1 - Berks,16:45,2021-08-11,128.0,False,217.0,False,459.0,3.5 lengths
74,Dulwich College,Dulwich College,St. George's College,St. George's College,The Princess Elizabeth Challenge Cup,heats,M8+,Station 1 - Berks,16:40,2021-08-11,121.0,False,203.0,False,420.0,1 lengths
74,Thames Rowing Club 'A',Thames Rowing Club,Vesta Rowing Club 'C',Vesta Rowing Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,16:35,2021-08-11,110.0,False,193.0,False,426.0,5 lengths
74,The Tideway Scullers' School,The Tideway Scullers' School,"The King's School, Worcester","The King's School, Worcester",The Junior Women's Eights,heats,JW8+,Station 1 - Berks,16:30,2021-08-11,139.0,False,234.0,False,487.0,0.33 lengths
74,University of London,University of London,Durham University 'A',Durham University,The Prince Albert Challenge Cup,heats,M4+,Station 2 - Bucks,16:25,2021-08-11,125.0,False,210.0,False,449.0,0.75 lengths
74,Kingston Rowing Club 'A',Kingston Rowing Club,Maidenhead Rowing Club,Maidenhead Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,16:15,2021-08-11,128.0,False,222.0,False,472.0,2.75 lengths
74,Exeter Rowing Club,Exeter Rowing Club,Northwich Rowing Club,Northwich Rowing Club,The Fawley Challenge Cup,heats,M4,Station 2 - Bucks,16:10,2021-08-11,124.0,False,210.0,False,440.0,2.5 lengths
74,Surbiton High School,Surbiton High School,Sir William Borlase's Grammar School,Sir William Borlase's Grammar School,The Junior Women's Eights,heats,JW8+,Station 1 - Berks,16:05,2021-08-11,134.0,False,229.0,False,488.0,easily
74,Thames R.C. 'B',Thames R.C.,Royal Chester Rowing Club 'B',Royal Chester Rowing Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,16:00,2021-08-11,118.0,False,202.0,False,440.0,4 lengths
74,Oxford Brookes University 'B',Oxford Brookes University,Aberdeen University,Aberdeen University,The Prince Albert Challenge Cup,heats,M4+,Station 2 - Bucks,14:20,2021-08-11,136.0,False,231.0,False,484.0,3 lengths
75,London Rowing Club,London Rowing Club,The Tideway Scullers' School 'B',The Tideway Scullers' School,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,14:15,2021-08-11,127.0,False,214.0,False,451.0,1.25 lengths
75,York City Rowing Club,York City Rowing Club,"The King's School, Worcester","The King's School, Worcester",The Fawley Challenge Cup,heats,M4,Station 1 - Berks,14:10,2021-08-11,125.0,False,213.0,False,444.0,0.66 lengths
75,Upper Thames Rowing Club 'B',Upper Thames Rowing Club,Norwich Rowing Club,Norwich Rowing Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,14:05,2021-08-11,128.0,True,213.0,False,437.0,0.66 lengths
75,Shrewsbury School,Shrewsbury School,Enniskillen Royal Boat Club,Enniskillen Royal Boat Club,The Junior Women's Eights,heats,JW8+,Station 2 - Bucks,14:00,2021-08-11,136.0,False,231.0,False,479.0,2.25 lengths
75,Reading Blue Coat School,Reading Blue Coat School,Pangbourne College,Pangbourne College,The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,13:50,2021-08-11,118.0,False,201.0,False,419.0,3.5 lengths
75,University of Bristol,University of Bristol,Imperial College London 'C',Imperial College London,The Temple Challenge Cup,heats,M8+,Station 1 - Berks,13:45,2021-08-11,123.0,False,207.0,False,431.0,4.5 lengths
75,The Griffen Boat Club,The Griffen Boat Club,London Rowing Club 'B',London Rowing Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,13:40,2021-08-11,126.0,False,213.0,False,438.0,3.25 lengths
75,Nottingham Boat Club,Nottingham Boat Club,Upper Thames Rowing Club,Upper Thames Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 1 - Berks,13:35,2021-08-11,127.0,False,213.0,False,439.0,0.33 lengths
75,Trentham Boat Club,Trentham Boat Club,Wycliffe Junior Rowing Club 'B',Wycliffe Junior Rowing Club,The Diamond Jubilee Challenge Cup,heats,W4,Station 2 - Bucks,13:30,2021-08-11,146.0,False,248.0,False,513.0,3 lengths
75,"Deutscher Ruder Club Hannover von 1884, Germany","Deutscher Ruder Club Hannover von 1884, Germany",Kingston Rowing Club 'B',Kingston Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,13:20,2021-08-11,131.0,False,219.0,False,459.0,0.66 lengths
75,St. Edward's School,St. Edward's School,Reading Rowing Club,Reading Rowing Club,The Diamond Jubilee Challenge Cup,heats,W4,Station 1 - Berks,13:15,2021-08-11,139.0,False,234.0,False,502.0,easily
75,Manchester University,Manchester University,Hampton School,Hampton School,The Temple Challenge Cup,heats,M8+,Station 1 - Berks,13:10,2021-08-11,124.0,True,211.0,False,438.0,4.25 lengths
75,City of Bristol Rowing Club,City of Bristol Rowing Club,Quintin Boat Club,Quintin Boat Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,13:05,2021-08-11,121.0,False,204.0,False,434.0,4 lengths
75,Bedford Modern School,Bedford Modern School,Sir William Borlase's Grammar School,Sir William Borlase's Grammar School,The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,13:00,2021-08-11,130.0,False,219.0,False,455.0,2.25 lengths
75,The Tideway Scullers' School 'B',The Tideway Scullers' School,Hampton School,Hampton School,The Fawley Challenge Cup,heats,M4,Station 2 - Bucks,12:50,2021-08-11,124.0,False,210.0,False,446.0,2 lengths
75,Northwich Rowing Club,Northwich Rowing Club,City of Bristol Rowing Club 'A',City of Bristol Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,12:45,2021-08-11,130.0,False,218.0,False,470.0,3.25 lengths
75,Southampton University,Southampton University,"University College, Oxford and Wolfson College, Oxford 'A'","University College, Oxford and Wolfson College, Oxford",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,12:40,2021-08-11,118.0,False,201.0,False,434.0,3.25 lengths
75,Cantabrigian Rowing Club,Cantabrigian Rowing Club,Old Monmothians Boat Club,Old Monmothians Boat Club,The Thames Challenge Cup,heats,M8+,Station 1 - Berks,12:35,2021-08-11,122.0,False,206.0,False,431.0,2.25 lengths
75,Oxford Brookes University 'A',Oxford Brookes University,Oxford University Lightweight Rowing Club,Oxford University Lightweight Rowing Club,The Prince Albert Challenge Cup,heats,M4+,Station 2 - Bucks,12:30,2021-08-11,124.0,False,214.0,False,463.0,2.75 lengths
75,City of Bristol Rowing Club 'B',City of Bristol Rowing Club,Auriol Kensington Rowing Club,Auriol Kensington Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 1 - Berks,12:20,2021-08-11,134.0,False,228.0,False,476.0,2 lengths
76,Durham University,Durham University,Exeter University,Exeter University,The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,12:15,2021-08-11,118.0,False,200.0,False,434.0,5 lengths
76,Molesey Boat Club 'A',Molesey Boat Club,Royal Chester Rowing Club 'A',Royal Chester Rowing Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,12:10,2021-08-11,115.0,False,199.0,False,423.0,4 lengths
76,Cambridge University,Cambridge University,Isis Boat Club,Isis Boat Club,The Prince Albert Challenge Cup,heats,M4+,Station 2 - Bucks,12:05,2021-08-11,129.0,False,220.0,False,462.0,2.25 lengths
76,Hartpury College,Hartpury College,Marlow Rowing Club,Marlow Rowing Club,The Fawley Challenge Cup,heats,M4,Station 2 - Bucks,12:00,2021-08-11,130.0,False,219.0,False,459.0,2 lengths
76,The Tideway Scullers' School,The Tideway Scullers' School,Leeds Rowing Club,Leeds Rowing Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,11:50,2021-08-11,124.0,False,208.0,False,444.0,3 lengths
76,Monmouth School,Monmouth School,"The King's School, Chester","The King's School, Chester",The Princess Elizabeth Challenge Cup,heats,M8+,Station 1 - Berks,11:45,2021-08-11,122.0,False,209.0,False,434.0,2.25 lengths
76,Nottingham University,Nottingham University,"King's College School, Wimbledon","King's College School, Wimbledon",The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,11:50,2021-08-11,124.0,False,209.0,False,434.0,1.25 lengths
76,Lea Rowing Club,Lea Rowing Club,Maidstone Invicta Rowing Club,Maidstone Invicta Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,11:35,2021-08-11,128.0,False,221.0,False,477.0,2 lengths
76,Glasgow Academy,Glasgow Academy,Sir William Borlase's Grammar School,Sir William Borlase's Grammar School,The Diamond Jubilee Challenge Cup,heats,W4,Station 1 - Berks,11:30,2021-08-11,147.0,False,247.0,False,524.0,2.5 lengths
76,Vesta Rowing Club,Vesta Rowing Club,Norwich Rowing Club,Norwich Rowing Club,The Wyfold Challenge Cup,heats,M4,Station 2 - Bucks,11:20,2021-08-11,132.0,False,223.0,False,468.0,4 lengths
76,"Commercial Rowing Club, Ireland","Commercial Rowing Club, Ireland",Sir William Perkins's School,Sir William Perkins's School,The Diamond Jubilee Challenge Cup,heats,W4,Station 1 - Berks,11:20,2021-08-11,139.0,True,235.0,False,493.0,2.5 lengths
76,Bedford School,Bedford School,"The King's School, Worcester","The King's School, Worcester",The Princess Elizabeth Challenge Cup,heats,M8+,Station 2 - Bucks,11:10,2021-08-11,124.0,False,212.0,False,455.0,easily
76,Edinburgh University,Edinburgh University,University of London 'B',University of London,The Temple Challenge Cup,heats,M8+,Station 2 - Bucks,11:10,2021-08-11,114.0,False,192.0,False,405.0,4 lengths
76,Molesey Boat Club 'B',Molesey Boat Club,Tyne Amateur Rowing Club,Tyne Amateur Rowing Club,The Thames Challenge Cup,heats,M8+,Station 2 - Bucks,11:00,2021-08-11,120.0,False,201.0,False,416.0,0.75 lengths
76,Latymer Upper School 'A',Latymer Upper School,Headington School,Headington School,The Diamond Jubilee Challenge Cup,final,W4,Station 1 - Berks,,2019-07-07,134.0,False,227.0,False,465.0,1.75 lengths
76,Molesey Boat Club,Molesey Boat Club,"Mercantile Rowing Club, Australia","Mercantile Rowing Club, Australia",The Britannia Challenge Cup,final,M4+,Station 2 - Bucks,,2019-07-07,121.0,True,205.0,False,421.0,0.5 lengths
76,"G.E. Prendergast & K.L. Gowler, Waiariki Rowing Club, New Zealand","G.E. Prendergast & K.L. Gowler, Waiariki Rowing Club, New Zealand","X. Lin & R. Ju, Chinese National Rowing Team, China","X. Lin & R. Ju, Chinese National Rowing Team, China",The Hambleden Pairs Challenge Cup,final,W2,Station 1 - Berks,,2019-07-07,134.0,False,227.0,False,472.0,easily
76,"Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands","Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands",Thames Rowing Club 'A',Thames Rowing Club,The Thames Challenge Cup,final,M8+,Station 2 - Bucks,,2019-07-07,108.0,True,184.0,False,380.0,1 lengths
76,Leander Club,Leander Club,"Frankfurter Rudergesellschaft Germania 1869 e.V., Germany","Frankfurter Rudergesellschaft Germania 1869 e.V., Germany",The Queen Mother Challenge Cup,final,M4,Station 1 - Berks,,2019-07-07,109.0,False,183.0,False,380.0,easily
76,"Hollandia Roeiclub, Netherlands","Hollandia Roeiclub, Netherlands","Chinese National Rowing Team, China","Chinese National Rowing Team, China",The Town Challenge Cup,final,W4,Station 1 - Berks,,2019-07-07,122.0,False,204.0,False,426.0,4.5 lengths
77,"Waiariki Rowing Club, New Zealand","Waiariki Rowing Club, New Zealand",Leander Club & Oxford Brookes University,Leander Club & Oxford Brookes University,The Grand Challenge Cup,final,M8+,Station 1 - Berks,,2019-07-07,104.0,False,174.0,False,466.0,1 lengths
77,"O. Zeidler, Donau-Ruder-Club Ingolstadt e.V., Germany","O. Zeidler, Donau-Ruder-Club Ingolstadt e.V., Germany","G.G. Krommenhoek, Hollandia Roeiclub, Netherlands","G.G. Krommenhoek, Hollandia Roeiclub, Netherlands",The Diamond Challenge Sculls,final,M1,Station 1 - Berks,,2019-07-07,127.0,False,216.0,False,454.0,5 lengths
77,Leander Club & Oxford Brookes University,Leander Club & Oxford Brookes University,Leander Club,Leander Club,The Stewards' Challenge Cup,final,M4,Station 2 - Bucks,,2019-07-07,111.0,False,189.0,False,398.0,2.5 lengths
77,"United States Armed Forces, U.S.A.","United States Armed Forces, U.S.A.","Bundeswehr, Germany","Bundeswehr, Germany",The King's Cup,final,Mx8+,Station 2 - Bucks,,2019-07-07,110.0,True,189.0,False,393.0,0.75 lengths
77,"A. Diaz & A. Haack, Club de Regatas La Plata & Tigre Boat Club, Argentina","A. Diaz & A. Haack, Club de Regatas La Plata & Tigre Boat Club, Argentina","M.C. Oyen & M. Steenman, Hollandia Roeiclub, Netherlands","M.C. Oyen & M. Steenman, Hollandia Roeiclub, Netherlands",The Silver Goblets & Nickalls' Challenge Cup,final,M2-,Station 1 - Berks,,2019-07-07,125.0,True,214.0,False,436.0,4.75 lengths
77,Edinburgh University & Nottingham Rowing Club,Edinburgh University & Nottingham Rowing Club,"Algemene Amsterdamsche Studenten Roeivereniging Skøll & Algemene Utrechtse Studenten Roeivereniging Orca, Netherlands","Algemene Amsterdamsche Studenten Roeivereniging Skøll & Algemene Utrechtse Studenten Roeivereniging Orca, Netherlands",The Prince of Wales Challenge Cup,final,M4,Station 1 - Berks,,2019-07-07,111.0,False,186.0,False,381.0,1 lengths
77,Oxford Brookes University 'A',Oxford Brookes University,"Northeastern University, U.S.A. 'A'","Northeastern University, U.S.A.",The Temple Challenge Cup,final,M8+,Station 2 - Bucks,,2019-07-07,106.0,False,179.0,False,369.0,0.75 lengths
77,Oxford Brookes University 'A',Oxford Brookes University,"Hollandia Roeiclub, Netherlands","Hollandia Roeiclub, Netherlands",The Ladies' Challenge Plate,final,M8+,Station 1 - Berks,,2019-07-07,104.0,False,175.0,False,359.0,1 lengths
77,"Sydney Rowing Club, Australia","Sydney Rowing Club, Australia","Hollandia Roeiclub, Netherlands","Hollandia Roeiclub, Netherlands",The Princess Grace Challenge Cup,final,W4,Station 1 - Berks,,2019-07-07,119.0,False,199.0,False,415.0,1.75 lengths
77,"J.E. Collins & G.E. Thomas, Leander Club & Agecroft Rowing Club","J.E. Collins & G.E. Thomas, Leander Club & Agecroft Rowing Club","J.W. Storey & C.W. Harris, Waiariki Rowing Club, New Zealand","J.W. Storey & C.W. Harris, Waiariki Rowing Club, New Zealand",The Double Sculls Challenge Cup,final,M2,Station 1 - Berks,,2019-07-07,119.0,False,198.0,False,404.0,1 lengths
77,"E.K. Twigg, Waiariki Rowing Club, New Zealand","E.K. Twigg, Waiariki Rowing Club, New Zealand","L.I. Scheenaard, Hollandia Roeiclub, Netherlands","L.I. Scheenaard, Hollandia Roeiclub, Netherlands",The Princess Royal Challenge Cup,final,W1,Station 1 - Berks,,2019-07-07,142.0,False,237.0,False,493.0,2.5 lengths
77,Eton College,Eton College,"Scotch College, Melbourne, Australia","Scotch College, Melbourne, Australia",The Princess Elizabeth Challenge Cup,final,M8+,Station 1 - Berks,,2019-07-07,110.0,False,184.0,False,378.0,1.25 lengths
77,"B.C. Donoghue & O.K. Loe, Waiariki Rowing Club, New Zealand","B.C. Donoghue & O.K. Loe, Waiariki Rowing Club, New Zealand","S. Lu & Y. Wang, Chinese National Rowing Team, China","S. Lu & Y. Wang, Chinese National Rowing Team, China",The Stonor Challenge Trophy,final,W2,Station 2 - Bucks,,2019-07-07,131.0,True,219.0,False,456.0,3.75 lengths
77,Cambridge University & Leander Club,Cambridge University & Leander Club,"Amsterdamsche Studenten Roeivereeniging Nereus & Delftsche Studenten Roeivereeniging Laga, Netherlands","Amsterdamsche Studenten Roeivereeniging Nereus & Delftsche Studenten Roeivereeniging Laga, Netherlands",The Visitors' Challenge Cup,final,M4,Station 1 - Berks,,2019-07-07,111.0,False,187.0,False,388.0,easily
77,"Waiariki Rowing Club, New Zealand","Waiariki Rowing Club, New Zealand","Leander Club & Imperial College, London","Leander Club & Imperial College, London",The Remenham Challenge Cup,final,W8+,Station 2 - Bucks,,2019-07-07,116.0,False,194.0,False,398.0,1.66 lengths
77,Leander Club 'A',Leander Club,Henley Rowing Club 'A',Henley Rowing Club,The Fawley Challenge Cup,final,M4,Station 1 - Berks,,2019-07-07,116.0,False,195.0,False,397.0,1.25 lengths
77,"Harvard University, U.S.A.","Harvard University, U.S.A.",Durham University,Durham University,The Prince Albert Challenge Cup,final,M4+,Station 2 - Bucks,,2019-07-07,118.0,False,200.0,False,411.0,0.75 lengths
77,"Sydney Rowing Club, Australia","Sydney Rowing Club, Australia","Norske Studenters Roklub, Norway","Norske Studenters Roklub, Norway",The Wyfold Challenge Cup,final,M4,Station 2 - Bucks,,2019-07-07,114.0,False,192.0,False,397.0,1 lengths
77,Latymer Upper School 'A',Latymer Upper School,Henley Rowing Club 'A',Henley Rowing Club,The Diamond Jubilee Challenge Cup,semi-final,W4,Station 1 - Berks,,2019-07-06,130.0,False,218.0,False,457.0,2.5 lengths
77,Headington School,Headington School,Shrewsbury School,Shrewsbury School,The Diamond Jubilee Challenge Cup,semi-final,W4,Station 1 - Berks,,2019-07-06,130.0,False,218.0,False,453.0,1.75 lengths
78,"J.E. Collins & G.E. Thomas, Leander Club & Agecroft Rowing Club","J.E. Collins & G.E. Thomas, Leander Club & Agecroft Rowing Club","A.V. Hayda & H.I. Formoso-Murias, Georgetown University, U.S.A.","A.V. Hayda & H.I. Formoso-Murias, Georgetown University, U.S.A.",The Double Sculls Challenge Cup,semi-final,M2,Station 2 - Bucks,,2019-07-06,115.0,False,201.0,False,441.0,1 lengths
78,Molesey Boat Club,Molesey Boat Club,"Sydney Rowing Club, Australia","Sydney Rowing Club, Australia",The Britannia Challenge Cup,semi-final,M4+,Station 1 - Berks,,2019-07-06,120.0,False,202.0,False,416.0,1.75 lengths
78,Edinburgh University & Nottingham Rowing Club,Edinburgh University & Nottingham Rowing Club,"Schuylkill Navy High Performance Center, U.S.A.","Schuylkill Navy High Performance Center, U.S.A.",The Prince of Wales Challenge Cup,semi-final,M4,Station 2 - Bucks,,2019-07-06,109.0,False,184.0,False,384.0,1.5 lengths
78,"Chinese National Rowing Team, China","Chinese National Rowing Team, China",Leander Club,Leander Club,The Town Challenge Cup,semi-final,W4,Station 1 - Berks,,2019-07-06,124.0,False,214.0,False,448.0,2.75 lengths
78,Thames Rowing Club 'A',Thames Rowing Club,"Commercial Rowing Club, Ireland","Commercial Rowing Club, Ireland",The Thames Challenge Cup,semi-final,M8+,Station 2 - Bucks,,2019-07-06,108.0,False,183.0,False,379.0,0.5 lengths
78,"Mercantile Rowing Club, Australia","Mercantile Rowing Club, Australia","Rudern, Tennis und Hockey Club Bayer Leverkusen, Germany","Rudern, Tennis und Hockey Club Bayer Leverkusen, Germany",The Britannia Challenge Cup,semi-final,M4+,Station 2 - Bucks,,2019-07-06,119.0,False,202.0,False,416.0,1.75 lengths
78,"J.W. Storey & C.W. Harris, Waiariki Rowing Club, New Zealand","J.W. Storey & C.W. Harris, Waiariki Rowing Club, New Zealand","R.H. Murillo & C.A. Rosso, Club San Fernando & Club De Remo Atlantis, Argentina","R.H. Murillo & C.A. Rosso, Club San Fernando & Club De Remo Atlantis, Argentina",The Double Sculls Challenge Cup,semi-final,M2,Station 1 - Berks,,2019-07-06,119.0,False,198.0,False,406.0,1.75 lengths
78,Oxford Brookes University 'A',Oxford Brookes University,"Amsterdamsche Studenten Roeivereeniging Nereus, Netherlands","Amsterdamsche Studenten Roeivereeniging Nereus, Netherlands",The Temple Challenge Cup,semi-final,M8+,Station 2 - Bucks,,2019-07-06,104.0,False,174.0,False,368.0,1 lengths
78,"Algemene Amsterdamsche Studenten Roeivereniging Skøll & Algemene Utrechtse Studenten Roeivereniging Orca, Netherlands","Algemene Amsterdamsche Studenten Roeivereniging Skøll & Algemene Utrechtse Studenten Roeivereniging Orca, Netherlands","Ruder-Club Potsdam e.V & Ruderverein Münster, Germany","Ruder-Club Potsdam e.V & Ruderverein Münster, Germany",The Prince of Wales Challenge Cup,semi-final,M4,Station 1 - Berks,,2019-07-06,111.0,False,187.0,False,384.0,0.75 lengths
78,"G.E. Prendergast & K.L. Gowler, Waiariki Rowing Club, New Zealand","G.E. Prendergast & K.L. Gowler, Waiariki Rowing Club, New Zealand","E.C. Beeres & L. Youssifou, Hollandia Roeiclub, Netherlands","E.C. Beeres & L. Youssifou, Hollandia Roeiclub, Netherlands",The Hambleden Pairs Challenge Cup,semi-final,W2,Station 2 - Bucks,,2019-07-06,132.0,False,222.0,False,467.0,2 lengths
78,"Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands","Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands","Bonner Ruder-Gesellschaft e.V., Germany","Bonner Ruder-Gesellschaft e.V., Germany",The Thames Challenge Cup,semi-final,M8+,Station 1 - Berks,,2019-07-06,108.0,False,181.0,False,372.0,0.75 lengths
78,"United States Armed Forces, U.S.A.","United States Armed Forces, U.S.A.","Forces Armées Françaises, France","Forces Armées Françaises, France",The King's Cup,semi-final,Mx8+,Station 1 - Berks,,2019-07-06,109.0,False,186.0,False,392.0,3.25 lengths
78,"Hollandia Roeiclub, Netherlands","Hollandia Roeiclub, Netherlands","Amsterdamsche Studenten Roeivereeniging Nereus & Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands","Amsterdamsche Studenten Roeivereeniging Nereus & Roeivereeniging Studenten Vreie Universiteit Okeanos, Netherlands",The Town Challenge Cup,semi-final,W4,Station 2 - Bucks,,2019-07-06,125.0,True,209.0,False,430.0,3 lengths
78,Eton College,Eton College,Shiplake College,Shiplake College,The Princess Elizabeth Challenge Cup,semi-final,M8+,Station 2 - Bucks,,2019-07-06,109.0,False,184.0,False,376.0,1 lengths
78,Cambridge University & Leander Club,Cambridge University & Leander Club,"University College, Dublin, Ireland","University College, Dublin, Ireland",The Visitors' Challenge Cup,semi-final,M4,Station 1 - Berks,,2019-07-06,112.0,False,189.0,False,394.0,1.75 lengths
78,Leander Club 'A',Leander Club,Leander Club 'B',Leander Club,The Fawley Challenge Cup,semi-final,M4,Station 1 - Berks,,2019-07-06,116.0,False,196.0,False,409.0,5 lengths
78,"Scotch College, Melbourne, Australia","Scotch College, Melbourne, Australia",St. Paul's School,St. Paul's School,The Princess Elizabeth Challenge Cup,semi-final,M8+,Station 2 - Bucks,,2019-07-06,108.0,False,183.0,False,377.0,0.33 lengths
